summary:

runid                 	all	TF_IDF
num_q                 	all	25
num_ret               	all	24129
num_rel               	all	834
num_rel_ret           	all	667
map                   	all	0.2668
gm_map                	all	0.0932
Rprec                 	all	0.2878
bpref                 	all	0.2686
recip_rank            	all	0.5554
iprec_at_recall_0.00  	all	0.6049
iprec_at_recall_0.10  	all	0.4626
iprec_at_recall_0.20  	all	0.4316
iprec_at_recall_0.30  	all	0.3414
iprec_at_recall_0.40  	all	0.2912
iprec_at_recall_0.50  	all	0.2664
iprec_at_recall_0.60  	all	0.2251
iprec_at_recall_0.70  	all	0.1832
iprec_at_recall_0.80  	all	0.1564
iprec_at_recall_0.90  	all	0.1009
iprec_at_recall_1.00  	all	0.0560
P_5                   	all	0.3440
P_10                  	all	0.3200
P_15                  	all	0.3013
P_20                  	all	0.2660
P_30                  	all	0.2307
P_100                 	all	0.1316
P_200                 	all	0.0930
P_500                 	all	0.0479
P_1000                	all	0.0267

per query map:

map                   	c301	0.4499
map                   	c302	0.3880
map                   	c303	0.3312
map                   	c304	0.2665
map                   	c305	0.2853
map                   	c306	1.0000
map                   	c307	0.3606
map                   	c308	0.7530
map                   	c309	0.0135
map                   	c310	0.0808
map                   	c311	0.1812
map                   	c312	0.6365
map                   	c313	0.0145
map                   	c314	0.0313
map                   	c315	0.4438
map                   	c316	0.2187
map                   	c317	0.1248
map                   	c318	0.1593
map                   	c319	0.2663
map                   	c320	0.0010
map                   	c321	0.0000
map                   	c322	0.0337
map                   	c323	0.1289
map                   	c324	0.0228
map                   	c325	0.4787
map                   	all	0.2668


per query recip_rank:

recip_rank            	c301	1.0000
recip_rank            	c302	0.5000
recip_rank            	c303	1.0000
recip_rank            	c304	1.0000
recip_rank            	c305	1.0000
recip_rank            	c306	1.0000
recip_rank            	c307	1.0000
recip_rank            	c308	1.0000
recip_rank            	c309	0.0455
recip_rank            	c310	0.5000
recip_rank            	c311	0.2500
recip_rank            	c312	1.0000
recip_rank            	c313	0.0278
recip_rank            	c314	0.0312
recip_rank            	c315	1.0000
recip_rank            	c316	0.2500
recip_rank            	c317	0.2500
recip_rank            	c318	0.3333
recip_rank            	c319	1.0000
recip_rank            	c320	0.0167
recip_rank            	c321	0.0000
recip_rank            	c322	0.0556
recip_rank            	c323	1.0000
recip_rank            	c324	0.1250
recip_rank            	c325	0.5000
recip_rank            	all	0.5554


per query num_rel:
num_rel               	c301	16
num_rel               	c302	17
num_rel               	c303	14
num_rel               	c304	15
num_rel               	c305	61
num_rel               	c306	1
num_rel               	c307	77
num_rel               	c308	11
num_rel               	c309	10
num_rel               	c310	63
num_rel               	c311	54
num_rel               	c312	31
num_rel               	c313	20
num_rel               	c314	18
num_rel               	c315	59
num_rel               	c316	118
num_rel               	c317	30
num_rel               	c318	9
num_rel               	c319	19
num_rel               	c320	16
num_rel               	c321	0
num_rel               	c322	14
num_rel               	c323	26
num_rel               	c324	74
num_rel               	c325	61
num_rel               	all	834


per query num_rel_ret:

num_rel_ret           	c301	12
num_rel_ret           	c302	17
num_rel_ret           	c303	12
num_rel_ret           	c304	10
num_rel_ret           	c305	61
num_rel_ret           	c306	1
num_rel_ret           	c307	75
num_rel_ret           	c308	11
num_rel_ret           	c309	8
num_rel_ret           	c310	44
num_rel_ret           	c311	52
num_rel_ret           	c312	31
num_rel_ret           	c313	8
num_rel_ret           	c314	15
num_rel_ret           	c315	49
num_rel_ret           	c316	108
num_rel_ret           	c317	23
num_rel_ret           	c318	9
num_rel_ret           	c319	14
num_rel_ret           	c320	1
num_rel_ret           	c321	0
num_rel_ret           	c322	11
num_rel_ret           	c323	15
num_rel_ret           	c324	21
num_rel_ret           	c325	59
num_rel_ret           	all	667

per query p_5:

P_5                   	c301	0.8000
P_5                   	c302	0.6000
P_5                   	c303	0.4000
P_5                   	c304	0.6000
P_5                   	c305	0.4000
P_5                   	c306	0.2000
P_5                   	c307	0.4000
P_5                   	c308	1.0000
P_5                   	c309	0.0000
P_5                   	c310	0.2000
P_5                   	c311	0.4000
P_5                   	c312	0.6000
P_5                   	c313	0.0000
P_5                   	c314	0.0000
P_5                   	c315	0.8000
P_5                   	c316	0.2000
P_5                   	c317	0.2000
P_5                   	c318	0.2000
P_5                   	c319	0.6000
P_5                   	c320	0.0000
P_5                   	c321	0.0000
P_5                   	c322	0.0000
P_5                   	c323	0.4000
P_5                   	c324	0.0000
P_5                   	c325	0.6000
P_5                   	all	0.3440


